{'BatchDate': '2020-02-08 01:21:04', 'StartingDate': '2020-02-08 01:15:41', 'EndingDate': '2020-02-08 01:20:55', 'Delay': '0h5min', 'nRT': 525, 'nInf': 232, 'nFam': 271, 'nUse': 463}
{'BatchDate': '2020-02-08 01:35:10', 'StartingDate': '2020-02-08 01:20:56', 'EndingDate': '2020-02-08 01:35:01', 'Delay': '0h14min', 'nRT': 1281, 'nInf': 489, 'nFam': 564, 'nUse': 1070}
{'BatchDate': '2020-02-08 01:46:02', 'StartingDate': '2020-02-08 01:35:01', 'EndingDate': '2020-02-08 01:45:49', 'Delay': '0h10min', 'nRT': 929, 'nInf': 378, 'nFam': 436, 'nUse': 783}
{'BatchDate': '2020-02-08 01:50:28', 'StartingDate': '2020-02-08 01:45:51', 'EndingDate': '2020-02-08 01:50:17', 'Delay': '0h4min', 'nRT': 369, 'nInf': 184, 'nFam': 197, 'nUse': 338}
{'BatchDate': '2020-02-08 01:53:44', 'StartingDate': '2020-02-08 01:50:17', 'EndingDate': '2020-02-08 01:53:32', 'Delay': '0h3min', 'nRT': 271, 'nInf': 155, 'nFam': 160, 'nUse': 246}
{'BatchDate': '2020-02-08 02:02:13', 'StartingDate': '2020-02-08 01:53:35', 'EndingDate': '2020-02-08 02:01:59', 'Delay': '0h8min', 'nRT': 618, 'nInf': 286, 'nFam': 313, 'nUse': 541}
{'BatchDate': '2020-02-08 02:12:32', 'StartingDate': '2020-02-08 02:02:01', 'EndingDate': '2020-02-08 02:12:20', 'Delay': '0h10min', 'nRT': 786, 'nInf': 336, 'nFam': 381, 'nUse': 659}
{'BatchDate': '2020-02-08 02:22:48', 'StartingDate': '2020-02-08 02:12:21', 'EndingDate': '2020-02-08 02:22:32', 'Delay': '0h10min', 'nRT': 657, 'nInf': 281, 'nFam': 313, 'nUse': 574}
{'BatchDate': '2020-02-08 02:36:57', 'StartingDate': '2020-02-08 02:22:34', 'EndingDate': '2020-02-08 02:36:48', 'Delay': '0h14min', 'nRT': 819, 'nInf': 318, 'nFam': 374, 'nUse': 675}
{'BatchDate': '2020-02-08 02:48:11', 'StartingDate': '2020-02-08 02:36:49', 'EndingDate': '2020-02-08 02:48:01', 'Delay': '0h11min', 'nRT': 645, 'nInf': 256, 'nFam': 307, 'nUse': 514}
{'BatchDate': '2020-02-08 03:06:37', 'StartingDate': '2020-02-08 02:48:02', 'EndingDate': '2020-02-08 03:06:23', 'Delay': '0h18min', 'nRT': 842, 'nInf': 346, 'nFam': 405, 'nUse': 705}
{'BatchDate': '2020-02-08 03:11:20', 'StartingDate': '2020-02-08 03:06:24', 'EndingDate': '2020-02-08 03:11:10', 'Delay': '0h4min', 'nRT': 214, 'nInf': 121, 'nFam': 135, 'nUse': 198}
{'BatchDate': '2020-02-08 03:29:45', 'StartingDate': '2020-02-08 03:11:12', 'EndingDate': '2020-02-08 03:29:34', 'Delay': '0h18min', 'nRT': 682, 'nInf': 295, 'nFam': 333, 'nUse': 573}
{'BatchDate': '2020-02-08 03:42:33', 'StartingDate': '2020-02-08 03:29:38', 'EndingDate': '2020-02-08 03:42:22', 'Delay': '0h12min', 'nRT': 414, 'nInf': 213, 'nFam': 234, 'nUse': 349}
{'BatchDate': '2020-02-08 03:42:49', 'StartingDate': '2020-02-08 03:42:22', 'EndingDate': '2020-02-08 03:42:37', 'Delay': '0h0min', 'nRT': 16, 'nInf': 14, 'nFam': 14, 'nUse': 15}
{'BatchDate': '2020-02-08 04:02:26', 'StartingDate': '2020-02-08 03:42:38', 'EndingDate': '2020-02-08 04:02:16', 'Delay': '0h19min', 'nRT': 649, 'nInf': 287, 'nFam': 317, 'nUse': 514}
{'BatchDate': '2020-02-08 11:23:08', 'StartingDate': '2020-02-08 04:02:19', 'EndingDate': '2020-02-08 11:22:53', 'Delay': '7h20min', 'nRT': 41690, 'nInf': 4365, 'nFam': 6019, 'nUse': 26717}
{'BatchDate': '2020-02-08 11:58:21', 'StartingDate': '2020-02-08 11:22:53', 'EndingDate': '2020-02-08 11:58:10', 'Delay': '0h35min', 'nRT': 7312, 'nInf': 1407, 'nFam': 1742, 'nUse': 5746}
{'BatchDate': '2020-02-08 12:17:54', 'StartingDate': '2020-02-08 11:58:10', 'EndingDate': '2020-02-08 12:17:43', 'Delay': '0h19min', 'nRT': 4045, 'nInf': 977, 'nFam': 1177, 'nUse': 3244}
{'BatchDate': '2020-02-08 13:27:15', 'StartingDate': '2020-02-08 12:17:44', 'EndingDate': '2020-02-08 13:27:03', 'Delay': '1h9min', 'nRT': 14211, 'nInf': 2152, 'nFam': 2723, 'nUse': 10710}
{'BatchDate': '2020-02-08 13:43:56', 'StartingDate': '2020-02-08 13:27:03', 'EndingDate': '2020-02-08 13:43:47', 'Delay': '0h16min', 'nRT': 3726, 'nInf': 930, 'nFam': 1112, 'nUse': 3055}
{'BatchDate': '2020-02-08 13:46:43', 'StartingDate': '2020-02-08 13:43:47', 'EndingDate': '2020-02-08 13:46:33', 'Delay': '0h2min', 'nRT': 643, 'nInf': 292, 'nFam': 324, 'nUse': 595}
{'BatchDate': '2020-02-08 13:51:34', 'StartingDate': '2020-02-08 13:46:34', 'EndingDate': '2020-02-08 13:51:25', 'Delay': '0h4min', 'nRT': 1052, 'nInf': 432, 'nFam': 483, 'nUse': 923}
{'BatchDate': '2020-02-08 14:26:52', 'StartingDate': '2020-02-08 13:51:26', 'EndingDate': '2020-02-08 14:26:41', 'Delay': '0h35min', 'nRT': 7317, 'nInf': 1455, 'nFam': 1820, 'nUse': 5693}
{'BatchDate': '2020-02-08 14:28:50', 'StartingDate': '2020-02-08 14:26:41', 'EndingDate': '2020-02-08 14:28:41', 'Delay': '0h2min', 'nRT': 445, 'nInf': 216, 'nFam': 249, 'nUse': 414}
{'BatchDate': '2020-02-08 14:36:13', 'StartingDate': '2020-02-08 14:28:41', 'EndingDate': '2020-02-08 14:36:03', 'Delay': '0h7min', 'nRT': 1580, 'nInf': 531, 'nFam': 625, 'nUse': 1367}
{'BatchDate': '2020-02-08 15:36:11', 'StartingDate': '2020-02-08 14:36:04', 'EndingDate': '2020-02-08 15:35:59', 'Delay': '0h59min', 'nRT': 10892, 'nInf': 1857, 'nFam': 2363, 'nUse': 8151}
{'BatchDate': '2020-02-08 16:36:13', 'StartingDate': '2020-02-08 15:35:59', 'EndingDate': '2020-02-08 16:36:02', 'Delay': '1h0min', 'nRT': 10119, 'nInf': 1809, 'nFam': 2335, 'nUse': 7535}
{'BatchDate': '2020-02-08 17:36:13', 'StartingDate': '2020-02-08 16:36:02', 'EndingDate': '2020-02-08 17:36:00', 'Delay': '0h59min', 'nRT': 11947, 'nInf': 1875, 'nFam': 2430, 'nUse': 8894}
{'BatchDate': '2020-02-08 18:36:14', 'StartingDate': '2020-02-08 17:36:00', 'EndingDate': '2020-02-08 18:36:02', 'Delay': '1h0min', 'nRT': 13360, 'nInf': 1958, 'nFam': 2510, 'nUse': 9847}
