{'Date': '2020-02-10 20:45:25', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 1, 'Nombre de graph enregistrés so far': 1}
{'Date': '2020-02-10 21:55:31', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-10 20:39:04'), 'Nombre de lignes supprimés dans la table FinalRT': 20554, 'Nombre de graph rajoutés': 3, 'Nombre de graph enregistrés so far': 4}
{'Date': '2020-02-10 22:51:27', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-10 21:39:04'), 'Nombre de lignes supprimés dans la table FinalRT': 13836, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 6}
{'Date': '2020-02-10 23:17:57', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-10 22:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 7013, 'Nombre de graph rajoutés': 1, 'Nombre de graph enregistrés so far': 7}
{'Date': '2020-02-10 23:45:34', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 7}
{'Date': '2020-02-11 00:45:45', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 7}
{'Date': '2020-02-11 01:45:51', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 9}
{'Date': '2020-02-11 02:45:39', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 9}
{'Date': '2020-02-11 03:45:48', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 11}
{'Date': '2020-02-11 04:45:36', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 11}
{'Date': '2020-02-11 05:45:47', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-10 23:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 13273, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 13}
{'Date': '2020-02-11 06:45:57', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 13}
{'Date': '2020-02-11 07:46:30', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-11 01:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 1972, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 15}
{'Date': '2020-02-11 08:46:13', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 15}
{'Date': '2020-02-11 09:46:30', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-11 03:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 2192, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 17}
