{'Date': '2020-02-10 23:15:06', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 7507, "Nombre d'auteurs, FinalInf": 5130, 'Nombre de dataframes de type graph so far': 15, 'Nombre de dataframes de type tfidf so far': 15}
{'Date': '2020-02-10 23:18:34', 'Nombre de graph dataframes crées': 1, 'Nombre de lignes total rajoutées, linksdf': 2416, 'Nombre de lignes total rajoutées, statswords': 694, 'Nombre de tweets, FinalFam': 8202, "Nombre d'auteurs, FinalInf": 5561, 'Nombre de dataframes de type graph so far': 17, 'Nombre de dataframes de type tfidf so far': 17}
{'Date': '2020-02-10 23:46:03', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 8202, "Nombre d'auteurs, FinalInf": 5561, 'Nombre de dataframes de type graph so far': 17, 'Nombre de dataframes de type tfidf so far': 17}
{'Date': '2020-02-11 00:46:24', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 8202, "Nombre d'auteurs, FinalInf": 5561, 'Nombre de dataframes de type graph so far': 17, 'Nombre de dataframes de type tfidf so far': 17}
{'Date': '2020-02-11 01:46:23', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 5567, 'Nombre de lignes total rajoutées, statswords': 1512, 'Nombre de tweets, FinalFam': 8761, "Nombre d'auteurs, FinalInf": 5796, 'Nombre de dataframes de type graph so far': 21, 'Nombre de dataframes de type tfidf so far': 21}
{'Date': '2020-02-11 02:46:10', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 8761, "Nombre d'auteurs, FinalInf": 5796, 'Nombre de dataframes de type graph so far': 21, 'Nombre de dataframes de type tfidf so far': 21}
{'Date': '2020-02-11 03:46:33', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 6479, 'Nombre de lignes total rajoutées, statswords': 1785, 'Nombre de tweets, FinalFam': 9313, "Nombre d'auteurs, FinalInf": 6041, 'Nombre de dataframes de type graph so far': 25, 'Nombre de dataframes de type tfidf so far': 25}
{'Date': '2020-02-11 04:46:05', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 9313, "Nombre d'auteurs, FinalInf": 6041, 'Nombre de dataframes de type graph so far': 25, 'Nombre de dataframes de type tfidf so far': 25}
{'Date': '2020-02-11 05:46:17', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 4146, 'Nombre de lignes total rajoutées, statswords': 1708, 'Nombre de tweets, FinalFam': 9920, "Nombre d'auteurs, FinalInf": 6348, 'Nombre de dataframes de type graph so far': 29, 'Nombre de dataframes de type tfidf so far': 29}
{'Date': '2020-02-11 06:46:27', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 9920, "Nombre d'auteurs, FinalInf": 6348, 'Nombre de dataframes de type graph so far': 29, 'Nombre de dataframes de type tfidf so far': 29}
{'Date': '2020-02-11 07:47:11', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 3952, 'Nombre de lignes total rajoutées, statswords': 1833, 'Nombre de tweets, FinalFam': 10669, "Nombre d'auteurs, FinalInf": 6686, 'Nombre de dataframes de type graph so far': 33, 'Nombre de dataframes de type tfidf so far': 33}
{'Date': '2020-02-11 08:46:43', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 10669, "Nombre d'auteurs, FinalInf": 6686, 'Nombre de dataframes de type graph so far': 33, 'Nombre de dataframes de type tfidf so far': 33}
{'Date': '2020-02-11 09:47:02', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 17007, 'Nombre de lignes total rajoutées, statswords': 1842, 'Nombre de tweets, FinalFam': 11203, "Nombre d'auteurs, FinalInf": 6941, 'Nombre de dataframes de type graph so far': 37, 'Nombre de dataframes de type tfidf so far': 37}
{'Date': '2020-02-11 10:46:54', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 11203, "Nombre d'auteurs, FinalInf": 6941, 'Nombre de dataframes de type graph so far': 37, 'Nombre de dataframes de type tfidf so far': 37}
{'Date': '2020-02-11 11:47:10', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 24206, 'Nombre de lignes total rajoutées, statswords': 1819, 'Nombre de tweets, FinalFam': 11620, "Nombre d'auteurs, FinalInf": 7150, 'Nombre de dataframes de type graph so far': 41, 'Nombre de dataframes de type tfidf so far': 41}
{'Date': '2020-02-11 12:46:58', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 11620, "Nombre d'auteurs, FinalInf": 7150, 'Nombre de dataframes de type graph so far': 41, 'Nombre de dataframes de type tfidf so far': 41}
{'Date': '2020-02-11 13:47:17', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 26299, 'Nombre de lignes total rajoutées, statswords': 2107, 'Nombre de tweets, FinalFam': 12039, "Nombre d'auteurs, FinalInf": 7328, 'Nombre de dataframes de type graph so far': 45, 'Nombre de dataframes de type tfidf so far': 45}
{'Date': '2020-02-11 14:46:17', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 12039, "Nombre d'auteurs, FinalInf": 7328, 'Nombre de dataframes de type graph so far': 45, 'Nombre de dataframes de type tfidf so far': 45}
{'Date': '2020-02-11 15:46:40', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 20493, 'Nombre de lignes total rajoutées, statswords': 2023, 'Nombre de tweets, FinalFam': 12508, "Nombre d'auteurs, FinalInf": 7527, 'Nombre de dataframes de type graph so far': 49, 'Nombre de dataframes de type tfidf so far': 49}
{'Date': '2020-02-11 16:46:11', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 12508, "Nombre d'auteurs, FinalInf": 7527, 'Nombre de dataframes de type graph so far': 49, 'Nombre de dataframes de type tfidf so far': 49}
{'Date': '2020-02-11 17:46:25', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 13362, 'Nombre de lignes total rajoutées, statswords': 1948, 'Nombre de tweets, FinalFam': 13111, "Nombre d'auteurs, FinalInf": 7785, 'Nombre de dataframes de type graph so far': 53, 'Nombre de dataframes de type tfidf so far': 53}
{'Date': '2020-02-11 18:46:16', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 13111, "Nombre d'auteurs, FinalInf": 7785, 'Nombre de dataframes de type graph so far': 53, 'Nombre de dataframes de type tfidf so far': 53}
{'Date': '2020-02-11 19:47:17', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 5982, 'Nombre de lignes total rajoutées, statswords': 2026, 'Nombre de tweets, FinalFam': 13704, "Nombre d'auteurs, FinalInf": 8046, 'Nombre de dataframes de type graph so far': 57, 'Nombre de dataframes de type tfidf so far': 57}
{'Date': '2020-02-11 20:46:29', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 13704, "Nombre d'auteurs, FinalInf": 8046, 'Nombre de dataframes de type graph so far': 57, 'Nombre de dataframes de type tfidf so far': 57}
{'Date': '2020-02-11 21:46:30', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 1004, 'Nombre de lignes total rajoutées, statswords': 1645, 'Nombre de tweets, FinalFam': 14209, "Nombre d'auteurs, FinalInf": 8216, 'Nombre de dataframes de type graph so far': 61, 'Nombre de dataframes de type tfidf so far': 61}
