{'Date': '2020-02-10 22:20:46', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 5802, 'Nombre de tweets uniques': 5802, 'Date du dernier retweet enregistré avant analyse': Timestamp('1970-01-01 00:00:00'), 'Date du dernier retweet enregistré après analyse': Timestamp('2020-02-10 21:48:31'), 'TFIDF, Taille du vocabulaire': 17108, 'TFIDF, Nombre de tweets scannés': 5722}
{'Date': '2020-02-10 22:51:55', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 7507, 'Nombre de tweets uniques': 1030, 'Date du dernier retweet enregistré avant analyse': '2020-02-10 21:48:31', 'Date du dernier retweet enregistré après analyse': '2020-02-10 22:48:01', 'TFIDF, Taille du vocabulaire': 19182, 'TFIDF, Nombre de tweets scannés': 6733}
{'Date': '2020-02-10 23:18:17', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 8202, 'Nombre de tweets uniques': 394, 'Date du dernier retweet enregistré avant analyse': '2020-02-10 22:48:01', 'Date du dernier retweet enregistré après analyse': '2020-02-10 22:48:01', 'TFIDF, Taille du vocabulaire': 19182, 'TFIDF, Nombre de tweets scannés': 6733}
{'Date': '2020-02-10 23:45:49', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 8202, 'Nombre de tweets uniques': 394, 'Date du dernier retweet enregistré avant analyse': '2020-02-10 22:48:01', 'Date du dernier retweet enregistré après analyse': '2020-02-10 22:48:01', 'TFIDF, Taille du vocabulaire': 19182, 'TFIDF, Nombre de tweets scannés': 6733}
{'Date': '2020-02-11 00:46:05', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 8202, 'Nombre de tweets uniques': 394, 'Date du dernier retweet enregistré avant analyse': '2020-02-10 22:48:01', 'Date du dernier retweet enregistré après analyse': '2020-02-10 22:48:01', 'TFIDF, Taille du vocabulaire': 19182, 'TFIDF, Nombre de tweets scannés': 6733}
{'Date': '2020-02-11 01:46:06', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 8761, 'Nombre de tweets uniques': 946, 'Date du dernier retweet enregistré avant analyse': '2020-02-10 22:48:01', 'Date du dernier retweet enregistré après analyse': '2020-02-10 22:48:01', 'TFIDF, Taille du vocabulaire': 19182, 'TFIDF, Nombre de tweets scannés': 6733}
{'Date': '2020-02-11 02:45:54', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 8761, 'Nombre de tweets uniques': 946, 'Date du dernier retweet enregistré avant analyse': '2020-02-10 22:48:01', 'Date du dernier retweet enregistré après analyse': '2020-02-10 22:48:01', 'TFIDF, Taille du vocabulaire': 19182, 'TFIDF, Nombre de tweets scannés': 6733}
{'Date': '2020-02-11 03:46:16', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 9313, 'Nombre de tweets uniques': 1494, 'Date du dernier retweet enregistré avant analyse': '2020-02-10 22:48:01', 'Date du dernier retweet enregistré après analyse': '2020-02-11 03:13:03', 'TFIDF, Taille du vocabulaire': 21968, 'TFIDF, Nombre de tweets scannés': 8200}
{'Date': '2020-02-11 04:45:50', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 9313, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 03:13:03', 'Date du dernier retweet enregistré après analyse': '2020-02-11 03:13:03', 'TFIDF, Taille du vocabulaire': 21968, 'TFIDF, Nombre de tweets scannés': 8200}
{'Date': '2020-02-11 05:46:01', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 9920, 'Nombre de tweets uniques': 504, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 03:13:03', 'Date du dernier retweet enregistré après analyse': '2020-02-11 03:13:03', 'TFIDF, Taille du vocabulaire': 21968, 'TFIDF, Nombre de tweets scannés': 8200}
{'Date': '2020-02-11 06:46:12', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 9920, 'Nombre de tweets uniques': 504, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 03:13:03', 'Date du dernier retweet enregistré après analyse': '2020-02-11 03:13:03', 'TFIDF, Taille du vocabulaire': 21968, 'TFIDF, Nombre de tweets scannés': 8200}
