{'BatchDate': '2020-02-08 15:45:12', 'StartingDate': '2020-02-08 15:30:56', 'EndingDate': '2020-02-08 15:45:02', 'Delay': '0h14min', 'nRT': 7324, 'nInf': 1672, 'nFam': 2246, 'nUse': 5814}
{'BatchDate': '2020-02-08 16:45:26', 'StartingDate': '2020-02-08 15:45:02', 'EndingDate': '2020-02-08 16:45:10', 'Delay': '1h0min', 'nRT': 33417, 'nInf': 4341, 'nFam': 6227, 'nUse': 24552}
{'BatchDate': '2020-02-08 17:45:24', 'StartingDate': '2020-02-08 16:45:11', 'EndingDate': '2020-02-08 17:45:09', 'Delay': '0h59min', 'nRT': 33622, 'nInf': 4295, 'nFam': 6259, 'nUse': 24871}
{'BatchDate': '2020-02-08 18:45:24', 'StartingDate': '2020-02-08 17:45:09', 'EndingDate': '2020-02-08 18:45:10', 'Delay': '1h0min', 'nRT': 31135, 'nInf': 4235, 'nFam': 6160, 'nUse': 23195}
{'BatchDate': '2020-02-08 19:45:20', 'StartingDate': '2020-02-08 18:45:10', 'EndingDate': '2020-02-08 19:45:07', 'Delay': '0h59min', 'nRT': 28363, 'nInf': 4101, 'nFam': 5826, 'nUse': 22138}
{'BatchDate': '2020-02-08 20:45:19', 'StartingDate': '2020-02-08 19:45:07', 'EndingDate': '2020-02-08 20:45:05', 'Delay': '0h59min', 'nRT': 26383, 'nInf': 3894, 'nFam': 5663, 'nUse': 20447}
{'BatchDate': '2020-02-08 21:45:28', 'StartingDate': '2020-02-08 20:45:05', 'EndingDate': '2020-02-08 21:45:14', 'Delay': '1h0min', 'nRT': 23650, 'nInf': 3693, 'nFam': 5232, 'nUse': 18481}
{'BatchDate': '2020-02-08 22:45:20', 'StartingDate': '2020-02-08 21:45:14', 'EndingDate': '2020-02-08 22:45:06', 'Delay': '0h59min', 'nRT': 21772, 'nInf': 3526, 'nFam': 5036, 'nUse': 16910}
{'BatchDate': '2020-02-08 23:45:17', 'StartingDate': '2020-02-08 22:45:07', 'EndingDate': '2020-02-08 23:45:05', 'Delay': '0h59min', 'nRT': 24052, 'nInf': 3696, 'nFam': 5309, 'nUse': 17983}
{'BatchDate': '2020-02-09 00:45:19', 'StartingDate': '2020-02-08 23:45:05', 'EndingDate': '2020-02-09 00:45:06', 'Delay': '1h0min', 'nRT': 24314, 'nInf': 3498, 'nFam': 5029, 'nUse': 18693}
{'BatchDate': '2020-02-09 01:45:18', 'StartingDate': '2020-02-09 00:45:06', 'EndingDate': '2020-02-09 01:45:05', 'Delay': '0h59min', 'nRT': 25352, 'nInf': 3593, 'nFam': 5446, 'nUse': 18644}
{'BatchDate': '2020-02-09 02:45:18', 'StartingDate': '2020-02-09 01:45:05', 'EndingDate': '2020-02-09 02:45:05', 'Delay': '1h0min', 'nRT': 26846, 'nInf': 3692, 'nFam': 5619, 'nUse': 19509}
{'BatchDate': '2020-02-09 03:45:18', 'StartingDate': '2020-02-09 02:45:05', 'EndingDate': '2020-02-09 03:45:05', 'Delay': '1h0min', 'nRT': 25466, 'nInf': 3709, 'nFam': 5579, 'nUse': 18476}
{'BatchDate': '2020-02-09 04:45:18', 'StartingDate': '2020-02-09 03:45:06', 'EndingDate': '2020-02-09 04:45:07', 'Delay': '1h0min', 'nRT': 25375, 'nInf': 3533, 'nFam': 5408, 'nUse': 18336}
{'BatchDate': '2020-02-09 05:45:17', 'StartingDate': '2020-02-09 04:45:07', 'EndingDate': '2020-02-09 05:45:07', 'Delay': '1h0min', 'nRT': 25836, 'nInf': 3567, 'nFam': 5336, 'nUse': 18865}
{'BatchDate': '2020-02-09 06:45:18', 'StartingDate': '2020-02-09 05:45:08', 'EndingDate': '2020-02-09 06:45:08', 'Delay': '1h0min', 'nRT': 25190, 'nInf': 3529, 'nFam': 5345, 'nUse': 18467}
{'BatchDate': '2020-02-09 07:45:16', 'StartingDate': '2020-02-09 06:45:08', 'EndingDate': '2020-02-09 07:45:07', 'Delay': '0h59min', 'nRT': 22922, 'nInf': 3519, 'nFam': 5198, 'nUse': 16701}
{'BatchDate': '2020-02-09 08:45:16', 'StartingDate': '2020-02-09 07:45:07', 'EndingDate': '2020-02-09 08:45:07', 'Delay': '1h0min', 'nRT': 23862, 'nInf': 3489, 'nFam': 5355, 'nUse': 15614}
{'BatchDate': '2020-02-09 09:45:17', 'StartingDate': '2020-02-09 08:45:08', 'EndingDate': '2020-02-09 09:45:07', 'Delay': '0h59min', 'nRT': 22186, 'nInf': 3493, 'nFam': 5276, 'nUse': 15119}
{'BatchDate': '2020-02-09 10:45:17', 'StartingDate': '2020-02-09 09:45:08', 'EndingDate': '2020-02-09 10:45:07', 'Delay': '0h59min', 'nRT': 21431, 'nInf': 3397, 'nFam': 5120, 'nUse': 15415}
{'BatchDate': '2020-02-09 11:45:16', 'StartingDate': '2020-02-09 10:45:07', 'EndingDate': '2020-02-09 11:45:07', 'Delay': '1h0min', 'nRT': 21087, 'nInf': 3356, 'nFam': 5142, 'nUse': 14930}
{'BatchDate': '2020-02-09 12:45:17', 'StartingDate': '2020-02-09 11:45:07', 'EndingDate': '2020-02-09 12:45:06', 'Delay': '0h59min', 'nRT': 21764, 'nInf': 3429, 'nFam': 5286, 'nUse': 16124}
{'BatchDate': '2020-02-09 13:45:16', 'StartingDate': '2020-02-09 12:45:06', 'EndingDate': '2020-02-09 13:45:07', 'Delay': '1h0min', 'nRT': 22526, 'nInf': 3557, 'nFam': 5335, 'nUse': 16969}
{'BatchDate': '2020-02-09 14:45:18', 'StartingDate': '2020-02-09 13:45:07', 'EndingDate': '2020-02-09 14:45:08', 'Delay': '1h0min', 'nRT': 25856, 'nInf': 3883, 'nFam': 5960, 'nUse': 19026}
{'BatchDate': '2020-02-09 15:45:19', 'StartingDate': '2020-02-09 14:45:08', 'EndingDate': '2020-02-09 15:45:10', 'Delay': '1h0min', 'nRT': 30048, 'nInf': 4189, 'nFam': 6321, 'nUse': 22754}
{'BatchDate': '2020-02-09 16:45:23', 'StartingDate': '2020-02-09 15:45:10', 'EndingDate': '2020-02-09 16:45:12', 'Delay': '1h0min', 'nRT': 30175, 'nInf': 4235, 'nFam': 6412, 'nUse': 22967}
{'BatchDate': '2020-02-09 17:45:19', 'StartingDate': '2020-02-09 16:45:12', 'EndingDate': '2020-02-09 17:45:08', 'Delay': '0h59min', 'nRT': 29312, 'nInf': 4158, 'nFam': 6271, 'nUse': 21705}
{'BatchDate': '2020-02-09 18:45:17', 'StartingDate': '2020-02-09 17:45:09', 'EndingDate': '2020-02-09 18:45:07', 'Delay': '0h59min', 'nRT': 25167, 'nInf': 4092, 'nFam': 5997, 'nUse': 19084}
{'BatchDate': '2020-02-09 19:45:18', 'StartingDate': '2020-02-09 18:45:07', 'EndingDate': '2020-02-09 19:45:09', 'Delay': '1h0min', 'nRT': 23884, 'nInf': 3940, 'nFam': 5758, 'nUse': 17444}
{'BatchDate': '2020-02-09 20:45:16', 'StartingDate': '2020-02-09 19:45:09', 'EndingDate': '2020-02-09 20:45:07', 'Delay': '0h59min', 'nRT': 22109, 'nInf': 3766, 'nFam': 5515, 'nUse': 16271}
{'BatchDate': '2020-02-09 21:45:21', 'StartingDate': '2020-02-09 20:45:07', 'EndingDate': '2020-02-09 21:45:10', 'Delay': '1h0min', 'nRT': 21553, 'nInf': 3715, 'nFam': 5292, 'nUse': 16135}
{'BatchDate': '2020-02-09 22:45:27', 'StartingDate': '2020-02-09 21:45:10', 'EndingDate': '2020-02-09 22:45:16', 'Delay': '1h0min', 'nRT': 20731, 'nInf': 3679, 'nFam': 5186, 'nUse': 15416}
{'BatchDate': '2020-02-09 23:45:19', 'StartingDate': '2020-02-09 22:45:16', 'EndingDate': '2020-02-09 23:45:09', 'Delay': '0h59min', 'nRT': 21144, 'nInf': 3535, 'nFam': 5084, 'nUse': 15500}
{'BatchDate': '2020-02-10 00:45:18', 'StartingDate': '2020-02-09 23:45:09', 'EndingDate': '2020-02-10 00:45:09', 'Delay': '1h0min', 'nRT': 21409, 'nInf': 3611, 'nFam': 5167, 'nUse': 15724}
{'BatchDate': '2020-02-10 01:45:18', 'StartingDate': '2020-02-10 00:45:09', 'EndingDate': '2020-02-10 01:45:08', 'Delay': '0h59min', 'nRT': 20880, 'nInf': 3521, 'nFam': 5089, 'nUse': 15084}
{'BatchDate': '2020-02-10 02:45:18', 'StartingDate': '2020-02-10 01:45:08', 'EndingDate': '2020-02-10 02:45:09', 'Delay': '1h0min', 'nRT': 20020, 'nInf': 3350, 'nFam': 5001, 'nUse': 14459}
{'BatchDate': '2020-02-10 03:45:15', 'StartingDate': '2020-02-10 02:45:09', 'EndingDate': '2020-02-10 03:45:06', 'Delay': '0h59min', 'nRT': 20600, 'nInf': 3348, 'nFam': 4979, 'nUse': 14976}
{'BatchDate': '2020-02-10 04:45:16', 'StartingDate': '2020-02-10 03:45:07', 'EndingDate': '2020-02-10 04:45:06', 'Delay': '0h59min', 'nRT': 20129, 'nInf': 3386, 'nFam': 5019, 'nUse': 14642}
{'BatchDate': '2020-02-10 05:45:15', 'StartingDate': '2020-02-10 04:45:07', 'EndingDate': '2020-02-10 05:45:06', 'Delay': '0h59min', 'nRT': 19424, 'nInf': 3339, 'nFam': 5060, 'nUse': 13642}
{'BatchDate': '2020-02-10 06:45:16', 'StartingDate': '2020-02-10 05:45:07', 'EndingDate': '2020-02-10 06:45:06', 'Delay': '0h59min', 'nRT': 19502, 'nInf': 3368, 'nFam': 4877, 'nUse': 13769}
{'BatchDate': '2020-02-10 07:45:16', 'StartingDate': '2020-02-10 06:45:06', 'EndingDate': '2020-02-10 07:45:07', 'Delay': '1h0min', 'nRT': 19384, 'nInf': 3386, 'nFam': 4985, 'nUse': 13393}
{'BatchDate': '2020-02-10 08:45:15', 'StartingDate': '2020-02-10 07:45:07', 'EndingDate': '2020-02-10 08:45:06', 'Delay': '0h59min', 'nRT': 19262, 'nInf': 3321, 'nFam': 4872, 'nUse': 13796}
{'BatchDate': '2020-02-10 09:45:16', 'StartingDate': '2020-02-10 08:45:06', 'EndingDate': '2020-02-10 09:45:07', 'Delay': '1h0min', 'nRT': 19456, 'nInf': 3463, 'nFam': 5047, 'nUse': 14087}
{'BatchDate': '2020-02-10 10:45:16', 'StartingDate': '2020-02-10 09:45:08', 'EndingDate': '2020-02-10 10:45:07', 'Delay': '0h59min', 'nRT': 18100, 'nInf': 3374, 'nFam': 4946, 'nUse': 13110}
{'BatchDate': '2020-02-10 11:45:17', 'StartingDate': '2020-02-10 10:45:07', 'EndingDate': '2020-02-10 11:45:07', 'Delay': '1h0min', 'nRT': 20010, 'nInf': 3469, 'nFam': 5023, 'nUse': 14504}
{'BatchDate': '2020-02-10 12:45:17', 'StartingDate': '2020-02-10 11:45:08', 'EndingDate': '2020-02-10 12:45:07', 'Delay': '0h59min', 'nRT': 20676, 'nInf': 3598, 'nFam': 5256, 'nUse': 15011}
{'BatchDate': '2020-02-10 13:45:18', 'StartingDate': '2020-02-10 12:45:07', 'EndingDate': '2020-02-10 13:45:08', 'Delay': '1h0min', 'nRT': 22628, 'nInf': 3943, 'nFam': 5830, 'nUse': 16297}
{'BatchDate': '2020-02-10 14:45:20', 'StartingDate': '2020-02-10 13:45:08', 'EndingDate': '2020-02-10 14:45:08', 'Delay': '1h0min', 'nRT': 27136, 'nInf': 4283, 'nFam': 6311, 'nUse': 19232}
{'BatchDate': '2020-02-10 15:45:23', 'StartingDate': '2020-02-10 14:45:09', 'EndingDate': '2020-02-10 15:45:11', 'Delay': '1h0min', 'nRT': 31430, 'nInf': 4613, 'nFam': 6873, 'nUse': 21925}
{'BatchDate': '2020-02-10 16:45:20', 'StartingDate': '2020-02-10 15:45:11', 'EndingDate': '2020-02-10 16:45:01', 'Delay': '0h59min', 'nRT': 29243, 'nInf': 4618, 'nFam': 6782, 'nUse': 20573}
{'BatchDate': '2020-02-10 17:45:21', 'StartingDate': '2020-02-10 16:44:58', 'EndingDate': '2020-02-10 17:45:10', 'Delay': '1h0min', 'nRT': 29701, 'nInf': 4810, 'nFam': 6894, 'nUse': 20984}
{'BatchDate': '2020-02-10 18:45:23', 'StartingDate': '2020-02-10 17:45:10', 'EndingDate': '2020-02-10 18:45:12', 'Delay': '1h0min', 'nRT': 29969, 'nInf': 4758, 'nFam': 6850, 'nUse': 21848}
{'BatchDate': '2020-02-10 19:45:10', 'StartingDate': '2020-02-10 18:45:12', 'EndingDate': '2020-02-10 18:51:10', 'Delay': '0h5min', 'nRT': 2868, 'nInf': 1039, 'nFam': 1347, 'nUse': 2421}
